team,winrate
Bursaspor Esports,0.0
Broski Esport,0.0
Grand View Vikings,0.0
Rise Esports Black,0.0
Uppercut eSports,0.0
ZZZ,0.0
Born Savage,0.0
Deep Dark Fantasies,0.0
The Promises Assassins,0.0
Enjoy Skill Gaming,0.0
We All Rise,0.0
Phoenix Reborn Gaming,0.0
QTV Gaming,0.0
Bella raga,0.0
Zephyr Esport,0.0
Sanctum,0.0
ELAB x EX,0.0
Prophecy Gaming,0.0
Revival Esports,0.0
Team NightSky,0.0
Frontside Esports,0.0
Classic Esports,0.0
Arbor Esports,0.0
Wulfpack Outbreak,0.0
Volta7 CEBCI,0.0
Aquinas Esports,0.0
Soiré OFF,0.0
Golden Flashes,0.0
Balistik Esport,0.0
Alltech,0.0
Peak Performers,0.0
Reapers Gaming,0.0
Karma Clan Esports,0.0
Bulldog Esports,0.0
FC Nantes Esport,0.0
TDA Esport,0.0
Team Valcary,0.0
Pulsia Esport,0.0
AKADEMUS ESPORT,0.0
TSM Classic,0.0
New Generation,0.0
Team WeForge,0.0
Tataki Esport,0.0
Elosit Academy,0.0
PCS Révélation,0.0
Odyssey Esport Black,0.0
Sathaurius Esport Club,0.0
Les potes à la compote,0.0
Shield Esport,0.0
Team LegenD,0.0
XY Esports,0.0
nerdRage,0.0
LochInPizza,0.0
No Jungler No Problem,0.0
2can Gaming,0.0
NOCTA Academy,0.0
Panic Time,0.0
hyFresh R,0.0
DRX Academy 1,0.0
Hanwha Life Esports Academy,0.0
hyFresh Academy,0.0
Fatigue Team,0.0
Siren Esport,0.0
Noobs Unleashed,0.0
Game Coach Academy,0.0
hyFresh A,0.0
Team O'Gaming,0.0
NAT,0.0
Goskilla,0.0
Nordavind Black,0.0
PA Gaming,0.0
Team RPF,0.0
TiTan Gaming,0.0
Core Dynamic,0.05555555555555555
Intergalaxy Tigers Gaming,0.06666666666666667
Royal Youth Academy,0.06666666666666667
WiLD MultiGaming,0.07142857142857142
Lane:ZERO Maelstrom,0.09090909090909091
mCon esports Rotterdam,0.1
Eclot Gaming,0.1
Inaequalis,0.1
UW-Madison D2,0.1111111111111111
Slaughter House,0.1111111111111111
Trikken,0.1111111111111111
Howling eSports,0.125
DayDreamers,0.13333333333333333
ACE1,0.13636363636363635
Team Fish Taco,0.13793103448275862
Vital Point Esports,0.14285714285714285
SeolHaeOne Prince,0.14634146341463414
Level Up esports,0.15384615384615385
Team Infamous,0.15384615384615385
Mad Revolution Gaming,0.15384615384615385
ASUS ROG ELITE,0.15789473684210525
Victorious Gaming,0.15789473684210525
Laughing Coffins,0.16666666666666666
eSports Nord e.V.,0.16666666666666666
Element 5,0.16666666666666666
WINNABLE!,0.16666666666666666
Diamond Doves,0.16666666666666666
Gravitas,0.17073170731707318
Rejects Gaming,0.17391304347826086
PRIDE,0.17857142857142858
Void Esports,0.18181818181818182
LNG Esports Academy,0.19298245614035087
LinGan E-sport,0.19642857142857142
eMonkeyz,0.2
Coliseo Dragons,0.2
Phoenix Rise,0.2
AGD E-Sports,0.2
CEBCI Esports,0.2
RMIT Redbacks,0.2
Vexo,0.2
Excess Success,0.2
No Name Esport,0.2
mYinsanity,0.21052631578947367
Team MCES,0.21052631578947367
QLASH Forge,0.21428571428571427
MOBA ROG,0.21428571428571427
Low Pressur3 Serranos,0.21428571428571427
Diablo Chairs,0.21428571428571427
KÄJY,0.21428571428571427
Gunrunners,0.21428571428571427
Nexus Gaming,0.21428571428571427
Counter Logic Gaming,0.21621621621621623
Godlike Goats,0.2222222222222222
Wildcard Gaming,0.2222222222222222
SK Gaming Prime,0.23076923076923078
AVEZ Esport,0.23529411764705882
MAMMOTH,0.23809523809523808
Anorthosis Esports,0.23809523809523808
Team Brute,0.24242424242424243
Resurgence,0.24390243902439024
Brussels Guardians,0.25
Team Vitality,0.25
Galakticos Academy,0.25
ASURA,0.25
Savage Esports,0.25
WhereAreyouFrom,0.25
Incubus,0.25
Lanomania,0.25
Eternals Gaming,0.25
Beast Academy,0.25
Quantum Gravity Gaming,0.25
Vatra Gaming,0.25
Legend Team,0.25
Summon Aery,0.25
Royal Gaming,0.25
GTZ Bulls,0.2558139534883721
Team Singularity,0.25806451612903225
Royal Youth,0.2631578947368421
V Gaming Adonis,0.2647058823529412
Raven Gaming,0.26666666666666666
Team Echo Zulu,0.2692307692307692
Psykodelic Esports,0.2692307692307692
Feint Gaming,0.2727272727272727
TUEURS,0.2727272727272727
Team WK,0.2727272727272727
Redemption eSports Porto Alegre,0.2777777777777778
1. Berliner eSport Club e.V.,0.2777777777777778
Dominus Esports,0.28169014084507044
Team Liquid Academy,0.28205128205128205
Estoril Praia Esports,0.2857142857142857
Cidade Curiosa Esports,0.2857142857142857
Upper Echelon,0.2857142857142857
Phelan Gaming,0.2857142857142857
RMU,0.2857142857142857
Furious Gaming,0.2857142857142857
Pixel Esports Club,0.2857142857142857
Team 7AM,0.2857142857142857
Rank 55 Dragons,0.2857142857142857
Team TG,0.2857142857142857
Płonące Garnitury,0.2857142857142857
Hanwha Life Esports,0.28735632183908044
Cream Real Betis Mexico,0.2916666666666667
RAMS,0.29411764705882354
E-STORM,0.29411764705882354
ThePurposeGamers,0.29411764705882354
Optical Spectrum Esports,0.29508196721311475
Vikingekrig Esports,0.29545454545454547
mCon esports,0.3
SN Dark Matter,0.3
Gravitas Academy,0.3
Element Mystic,0.30434782608695654
Zwan Gaming,0.3076923076923077
LB Gurb Nation,0.3076923076923077
Infinity Academy,0.3103448275862069
Chivas Esports,0.3103448275862069
Windsor Boomers,0.3125
TrainHard eSport,0.3125
Immortals,0.3157894736842105
Nova Esports,0.31666666666666665
New Indians GG,0.3170731707317073
piratesports,0.3181818181818182
Kenty,0.3181818181818182
IziDream,0.3191489361702128
Enclave Gaming,0.32142857142857145
AXIZ,0.3225806451612903
Fukuoka SoftBank HAWKS gaming,0.32432432432432434
GeekCase eSports,0.325
FTV Esports,0.32608695652173914
Bilibili Gaming Junior,0.3275862068965517
LUL Esports,0.3333333333333333
Valorous,0.3333333333333333
FroztFire Team,0.3333333333333333
Red Horizon,0.3333333333333333
Gophers Reformed,0.3333333333333333
Rascal Jester,0.3333333333333333
Azules Esports,0.3333333333333333
Vegas Inferno,0.3333333333333333
Future Perfect Blue,0.3333333333333333
Moscow Five,0.3333333333333333
Nocta,0.3333333333333333
UTS Esports,0.3333333333333333
The Purpose Gamers,0.3333333333333333
Newcomers,0.3333333333333333
Super Nova Dark Matter,0.3333333333333333
Wicked Gaming,0.3333333333333333
Saigon Buffalo,0.3333333333333333
Tony Parker Adequat Academy,0.3333333333333333
M'AZING,0.3333333333333333
UTM Esports,0.3333333333333333
Elyandra Esport,0.3333333333333333
Ripers Esports,0.3333333333333333
GD (Korean team),0.3333333333333333
DRX Challenge,0.3333333333333333
Blue Moon,0.3333333333333333
Power Of Dream,0.3333333333333333
Shine Like Diamond,0.3333333333333333
Dignitas,0.3404255319148936
OverPower,0.34146341463414637
Furious Gaming Argentina,0.34210526315789475
