DRX,Gen.G Esports,1,Shen/Graves/Ekko/Kalista/Nautilus,Akali 2018/Hecarim/Azir/Ashe/Karma,2020-08-30 08:00:00
DRX,Gen.G Esports,1,Renekton/Lil/Syl/Senna/Braum,Ornn/Hecarim/Karma/Kalista/Gragas,2020-08-30 08:00:00
DAMWON Gaming,DRX,1,Ornn/Volibear 2020/Syndra/Caitlyn/Lux,Renekton/Lil/Akali 2018/Jhin/Pyke,2020-09-05 08:00:00
DAMWON Gaming,DRX,1,Renekton/Nidalee/Syndra/Kalista/Alistar,Volibear 2020/Lil/Jc/Ezreal/Sett,2020-09-05 08:00:00
DAMWON Gaming,DRX,1,Renekton/Nidalee/Akali 2018/Dra/Pantheon 2019,Shen/Lil/Irelia 2018/Kalista/Thr,2020-09-05 08:00:00
T1,Afreeca Freecs,2,Lucian/Olaf/Zoe/Caitlyn/Leo,Akali 2018/Graves/Twisted Fate/Miss Fortune/Nautilus,2020-08-26 08:00:00
T1,Afreeca Freecs,1,Jc/Volibear 2020/Twisted Fate/Kalista/Gragas,Renekton/Nidalee/Aurelion Sol/Aph/Nautilus,2020-08-26 08:00:00
T1,Afreeca Freecs,2,Renekton/Karthus/Sett/Senna/Tahm Kench,Kalista/Volibear 2020/Zoe/Ezreal/Alistar,2020-08-26 08:00:00
Gen.G Esports,Afreeca Freecs,1,Renekton/Volibear 2020/Akali 2018/Kai/Gragas,Jc/Graves/Mordekaiser 2019/Ashe/Braum,2020-08-28 08:00:00
Gen.G Esports,Afreeca Freecs,1,Volibear 2020/Graves/Zoe/Ashe/Braum,Renekton/Nidalee/Orianna/Xayah/Rakan,2020-08-28 08:00:00
Gen.G Esports,Afreeca Freecs,1,Sett/Evelynn 2017/Orianna/Kalista/Gragas,Ornn/Lil/Galio 2017/Ashe/Karma,2020-08-28 08:00:00
DRX,Gen.G Esports,1,Ornn/Lil/Lucian/Ashe/Thr,Volibear 2020/Nidalee/Twisted Fate/Senna/Nautilus,2020-08-30 08:00:00
DRX,Gen.G Esports,2,Irelia 2018/Volibear 2020/Azir/Senna/Leo,Ornn/Graves/Zilean/Ashe/Sett,2020-08-30 08:00:00
DRX,Gen.G Esports,2,Kennen/Nidalee/Sett/Senna/Nautilus,Volibear 2020/Hecarim/Twisted Fate/Ashe/Karma,2020-08-30 08:00:00
Gen.G Esports,T1,,Volibear 2020/Nidalee/Ekko/Aph/Sett,Renekton/Lil/Orianna/Ezreal/Alistar,2020-09-09 08:00:00
Gen.G Esports,T1,,////,////,2020-09-09 08:00:00
Gen.G Esports,T1,,////,////,2020-09-09 08:00:00
Afreeca Freecs,KT Rolster,1,Wukong/Lil/Orianna/Kai/Nautilus,Malphite/Nidalee/Lucian/Ezreal/Alistar,2020-09-07 08:00:00
Afreeca Freecs,KT Rolster,1,Lucian/Volibear 2020/Gragas/Ezreal/Taric,Wukong/Nidalee/Azir/Yasuo/Senna,2020-09-07 08:00:00
Afreeca Freecs,KT Rolster,1,Cam/Lil/Syndra/Ezreal/Sett,Mordekaiser 2019/Hecarim/Orianna/Ashe/Lulu,2020-09-07 08:00:00
T1,Afreeca Freecs,1,Renekton/Jarvan IV/Galio 2017/Caitlyn/Lux,Ornn/Hecarim/Akali 2018/Ashe/Blitzcrank,2020-09-08 08:00:00
T1,Afreeca Freecs,2,Renekton/Volibear 2020/Zoe/Dra/Pantheon 2019,Lucian/Sett/Syndra/Kalista/Taric,2020-09-08 08:00:00
T1,Afreeca Freecs,1,Renekton/Lil/Zoe/Jhin/Bard,Shen/Hecarim/Orianna/Ezreal/Yuu,2020-09-08 08:00:00
T1,Afreeca Freecs,1,Mordekaiser 2019/Volibear 2020/Syl/Jhin/Bard,Wukong/Karthus/Ornn/Caitlyn/Nautilus,2020-09-08 08:00:00
Gen.G Esports,T1,1,Volibear 2020/Graves/Azir/Senna/Sett,Renekton/Kind/Ekko/Aph/Nautilus,2020-09-09 08:00:00
Gen.G Esports,T1,1,Renekton/Nidalee/Sett/Ezreal/Braum,Jc/Elise/Syl/Ashe/Pantheon 2019,2020-09-09 08:00:00
KT Rolster,T1,2,Ornn/Trundle/Sylas/Ezreal/Braum,Jayce/Volibear 2020/LeBlanc/Aphelios/Nautilus,2020-07-16 08:00:00
SeolHaeOne Prince,SANDBOX Gaming,2,Volibear 2020/Graves/LeBlanc/Ezreal/Tahm kench,Kennen/Trundle/Syndra/Kalista/Nautilus,2020-07-16 11:00:00
SeolHaeOne Prince,SANDBOX Gaming,1,Wukong/Lee Sin/LeBlanc/Aphelios/Nautilus,Jayce/Trundle/Syndra/Kalista/Blitzcrank,2020-07-16 11:00:00
SeolHaeOne Prince,SANDBOX Gaming,2,Pantheon 2019/Sett/Galio 2017/Aphelios/Bard,Renekton/Lee Sin/Zoe/Ashe/Tahm kench,2020-07-16 11:00:00
Hanwha Life Esports,DRX,2,Kennen/Olaf/Galio 2017/Ezreal/Bard,Karma/Lee Sin/Corki/Lucian/Yuu,2020-07-17 08:00:00
Hanwha Life Esports,DRX,2,Poppy/Olaf/Karma/Aph/Taric,Cam/Volibear 2020/Azir/Ashe/Kayle 2019,2020-07-17 08:00:00
Afreeca Freecs,DAMWON Gaming,2,Hecarim/Nidalee/Twisted Fate/Ezreal/Leo,Wukong/Rek'Sai/Syl/Varus 2018/Thr,2020-07-17 11:00:00
Afreeca Freecs,DAMWON Gaming,2,Ryze/Trundle/Syndra/Ashe/Leo,Kennen/Olaf/Zoe/Senna/Wukong,2020-07-17 11:00:00
KT Rolster,SANDBOX Gaming,1,Jc/Olaf/Zoe/Varus 2018/Blitzcrank,Lucian/Volibear 2020/Syndra/Senna/Tahm Kench,2020-07-18 08:00:00
KT Rolster,SANDBOX Gaming,1,Kennen/Lee Sin/Syl/Aph/Thr,Ornn/Trundle/Orianna/Ashe/Tahm Kench,2020-07-18 08:00:00
Hanwha Life Esports,SeolHaeOne Prince,2,Aatrox 2018/Jarvan IV/Rumble/Ezreal/Yuumi,Ornn/Rek'Sai/Azir/Aphelios/Lulu,2020-06-18 11:00:00
T1,Gen.G Esports,2,Karma/Jax/Akali 2018/Kalista/Rakan,Nee/Volibear 2020/Orianna/Ezreal/Tahm Kench,2020-07-18 11:00:00
T1,Gen.G Esports,2,Cam/Olaf/Nee/Ezreal/Nautilus,Ornn/Lee Sin/Zoe/Kalista/Leo,2020-07-18 11:00:00
SeolHaeOne Prince,Hanwha Life Esports,1,Illaoi/Nidalee/Azir/Aphelios/Thresh,Mordekaiser 2019/Olaf/LeBlanc/Ezreal/Braum,2020-07-19 08:00:00
SeolHaeOne Prince,Hanwha Life Esports,2,Cho'Gath/Trundle/Zoe/Ezreal/Tahm kench,Wukong/Nidalee/Galio 2017/Aphelios/Braum,2020-07-19 08:00:00
SeolHaeOne Prince,Hanwha Life Esports,2,Renekton/Volibear 2020/Twisted Fate/Kalista/Leo,Cam/Nidalee/Syl/Aph/Shen,2020-07-19 08:00:00
Team Dynamics,DRX,2,Aatrox 2018/Trundle/Zoe/Ezreal/Bard,Camille/Ekko/Sett/Lucian/Yuumi,2020-07-19 11:00:00
Team Dynamics,DRX,2,Aatrox 2018/Trundle/Corki/Aphelios/Sett,Karma/Volibear 2020/Azir/Ashe/Braum,2020-07-19 11:00:00
KT Rolster,DRX,1,Vladimir/Olaf/Twisted Fate/Aphelios/Nautilus,Camille/Lee Sin/Galio 2017/Senna/Wukong,2020-07-23 08:00:00
KT Rolster,DRX,2,Kennen/Lee Sin/LeBlanc/Aphelios/Nautilus,Camille/Sejuani/Azir/Ezreal/Bard,2020-07-23 08:00:00
KT Rolster,DRX,2,Kennen/Olaf/Karma/Aphelios/Blitzcrank,Jayce/Trundle/Azir/Ezreal/Bard,2020-07-23 08:00:00
DAMWON Gaming,SANDBOX Gaming,1,Jayce/Trundle/Zoe/Senna/Maokai,Wukong/Graves/Azir/Syndra/Thresh,2020-06-19 08:00:00
Gen.G Esports,Team Dynamics,1,Renekton/Volibear 2020/Azir/Kalista/Alistar,Aatrox 2018/Olaf/Corki/Aphelios/Braum,2020-07-23 11:00:00
Gen.G Esports,Team Dynamics,1,Camille/Lee Sin/Twisted Fate/Kalista/Leona,Kennen/Trundle/Sylas/Aphelios/Sett,2020-07-23 11:00:00
SANDBOX Gaming,DAMWON Gaming,2,Wukong/Lee Sin/Zoe/Senna/Nautilus,Renekton/Nidalee/Sett/Ezreal/Bard,2020-07-24 08:00:00
SANDBOX Gaming,DAMWON Gaming,2,Wukong/Lee Sin/Azir/Aphelios/Nautilus,Kennen/Sett/Corki/Ashe/Pantheon 2019,2020-07-24 08:00:00
SeolHaeOne Prince,Afreeca Freecs,2,Illaoi/Sett/Kassadin/Lucian/Yuumi,Kayle 2019/Poppy/Syndra/Ezreal/Bard,2020-07-24 11:00:00
SeolHaeOne Prince,Afreeca Freecs,2,Ornn/Olaf/Azir/Ezreal/Yuumi,Jayce/Nidalee/Ekko/Kalista/Taric,2020-07-24 11:00:00
Hanwha Life Esports,T1,1,Renekton/Nidalee/Galio 2017/Ezreal/Bard,Quinn/Sett/Zoe/Xayah/Nautilus,2020-07-25 08:00:00
Hanwha Life Esports,T1,2,Renekton/Lee Sin/Karma/Aphelios/Nautilus,Camille/Volibear 2020/Zoe/Ashe/Pantheon 2019,2020-07-25 08:00:00
Hanwha Life Esports,T1,2,Mordekaiser 2019/Olaf/Sylas/Ezreal/Bard,Camille/Karthus/Sett/Miss Fortune/Nautilus,2020-07-25 08:00:00
DRX,Gen.G Esports,1,Camille/Volibear 2020/Galio 2017/Ezreal/Bard,Ornn/Lee Sin/Zoe/Ashe/Leona,2020-07-25 11:00:00
DAMWON Gaming,SANDBOX Gaming,1,Wukong/Trundle/Kassadin/Syndra/Pantheon 2019,Mordekaiser 2019/Jarvan IV/Azir/Aphelios/Thresh,2020-06-19 08:00:00
DRX,Gen.G Esports,2,Karma/Ekko/Sett/Xayah/Gragas,Camille/Sejuani/Twisted Fate/Ashe/Braum,2020-07-25 11:00:00
DRX,Gen.G Esports,1,Kennen/Lee Sin/Twisted Fate/Xayah/Rakan,Camille/Sejuani/Azir/Ashe/Braum,2020-07-25 11:00:00
SANDBOX Gaming,SeolHaeOne Prince,1,Jayce/Lee Sin/LeBlanc/Kalista/Nautilus,Gnar/Olaf/Galio 2017/Ezreal/Braum,2020-07-26 08:00:00
SANDBOX Gaming,SeolHaeOne Prince,1,Kennen/Olaf/Sylas/Ezreal/Leona,Volibear 2020/Nidalee/LeBlanc/Kai'Sa/Alistar,2020-07-26 08:00:00
Team Dynamics,KT Rolster,1,Kennen/Trundle/Azir/Ashe/Pantheon 2019,Vladimir/Lee Sin/Ekko/Kalista/Sett,2020-07-26 11:00:00
Team Dynamics,KT Rolster,2,Renekton/Nidalee/Azir/Ashe/Pantheon 2019,Wukong/Olaf/Corki/Aphelios/Karma,2020-07-26 11:00:00
Team Dynamics,KT Rolster,2,Jayce/Sejuani/Lucian/Heimerdinger/Senna,Kennen/Olaf/Zoe/Ashe/Lulu,2020-07-26 11:00:00
Afreeca Freecs,Hanwha Life Esports,1,Mordekaiser 2019/Volibear 2020/Orianna/Ashe/Nautilus,Aatrox 2018/Olaf/Karma/Aph/Taric,2020-07-30 08:00:00
Afreeca Freecs,Hanwha Life Esports,1,Mordekaiser 2019/Sett/Zoe/Ashe/Tahm Kench,Renekton/Nidalee/Azir/Kalista/Rakan,2020-07-30 08:00:00
DAMWON Gaming,DRX,1,Kennen/Sett/Zoe/Aph/Thr,Jc/Trundle/Cam/Heimerdinger/Senna,2020-07-30 11:00:00
